,Account,Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago
94,@BBC,-0.8555,Mon Mar 05 18:38:04 +0000 2018,0.592,0.408,0.0,"No meat. No fish. No eggs. No milk. No cheese. How hard is it to go vegan for a month? 

??? Nesta McGregor investi… https://t.co/1UBRGqIOp6",95
95,@BBC,0.6124,Mon Mar 05 17:23:22 +0000 2018,0.737,0.0,0.263,"Like father, like daughter.

?? @GordonRamsay's daughter has already mastered the art of the roast. https://t.co/0dqwntX5uj",96
96,@BBC,0.4472,Mon Mar 05 17:15:34 +0000 2018,0.789,0.0,0.211,RT @BBCFOUR: The little mouse that inspired Pikachu is actually... a rabbit. https://t.co/mHCFFXczka,97
97,@BBC,0.1531,Mon Mar 05 17:00:31 +0000 2018,0.818,0.077,0.105,"""I made a promise to our six-year-old lead actress that I would sign this speech. My hands are shaking a little bit… https://t.co/HgFpUtHDTB",98
98,@BBC,0.0,Mon Mar 05 14:48:43 +0000 2018,1.0,0.0,0.0,"RT @BBCRadio4: As it's Hexagonal Phase approaches, a brief history of the Hitchhiker's Guide: https://t.co/Ehp9AfMyn8 #h2g2 https://t.co/9F…",99
99,@BBC,-0.1779,Mon Mar 05 14:43:13 +0000 2018,0.855,0.145,0.0,RT @BBCFOUR: How did Julius Caesar hide his bald patch? https://t.co/SME5Dfwifj,100
100,@CBS,0.8625,Thu Mar 08 18:00:49 +0000 2018,0.664,0.0,0.336,Today and every day we celebrate the women in our lives who empower and inspire us. Share a story about an influent… https://t.co/9rVtqrElvT,1
101,@CBS,0.4926,Thu Mar 08 17:03:04 +0000 2018,0.868,0.0,0.132,Take and post a photo of the woman in your life who inspires you daily! Use the hashtag #WomanAmenACM in your post… https://t.co/7ShhvE48zy,2
102,@CBS,-0.2023,Wed Mar 07 18:39:10 +0000 2018,0.619,0.23,0.15,"RT @thegoodfight: Meticulously constructed. Soapy &amp; sexy. Intoxicating, savage television. ? Here's what critics are saying about #TheGoodF…",3
103,@CBS,0.0,Wed Mar 07 17:06:02 +0000 2018,1.0,0.0,0.0,"This just in! @Jason_Aldean, @mirandalambert, @LukeBryanOnline, and many more are set to perform at the 53rd Academ… https://t.co/mfxw2VxzU4",4
104,@CBS,0.6705,Tue Mar 06 18:10:59 +0000 2018,0.756,0.0,0.244,"Meet the ensemble of talented actors slated to join $1, a new mystery series coming to CBS All Access:… https://t.co/QoyYv7vxwg",5
105,@CBS,0.3818,Mon Mar 05 22:16:43 +0000 2018,0.833,0.0,0.167,"Will @Jason_Aldean, @garthbrooks, @LukeBryanOnline, @ChrisStapleton, or @KeithUrban be named Entertainer Of The Yea… https://t.co/rMD8zjeX3s",6
106,@CBS,0.4404,Sun Mar 04 08:05:26 +0000 2018,0.884,0.0,0.116,"RT @thegoodfight: It feels good to be back. ??? The season 2 premiere of #TheGoodFight is now streaming, exclusively on CBS All Access: htt…",7
107,@CBS,0.0,Sat Mar 03 20:55:20 +0000 2018,1.0,0.0,0.0,"RT @thegoodfight: Tomorrow, #TheGoodFight is back. Stream the season 2 premiere only on CBS All Access: https://t.co/tNFR8LBJO2 https://t.c…",8
108,@CBS,0.7096,Fri Mar 02 22:30:01 +0000 2018,0.753,0.0,0.247,"Who are the trailblazing women in your life that inspire you? Join CBS and the ANA's #SeeHer initiative, celebratin… https://t.co/M0KqZ41Bes",9
109,@CBS,0.7096,Fri Mar 02 20:30:01 +0000 2018,0.718,0.0,0.282,"Join @maria_bello, @aishatyler and @TeaLeoni in celebrating the accomplishments of women who have contributed to th… https://t.co/MefESBeFL3",10
110,@CBS,0.4939,Fri Mar 02 18:45:00 +0000 2018,0.849,0.0,0.151,"In honor of Women's History Month, CBS and the Association of National Advertisers' (ANA) #SeeHer initiative will p… https://t.co/2wtYxKJVuO",11
111,@CBS,-0.6981,Thu Mar 01 18:59:01 +0000 2018,0.79,0.21,0.0,RT @ZoeListerJones: Tonight’s an all new Life In Pieces and it’s directed by my ride or die @nataliaanderson!!!… https://t.co/2LPfmyLWrY,12
112,@CBS,0.4547,Thu Mar 01 18:12:57 +0000 2018,0.749,0.092,0.159,"RT @MarenMorris: Hot damn! Woke up from my post-wisdom teeth haze to find out I’m up for 4 @ACMawards ! So honored, especially for the Dear…",13
113,@CBS,0.8591,Thu Mar 01 18:11:50 +0000 2018,0.462,0.0,0.538,RT @KelseaBallerini: Ohhhhh goodness. Incredible. Thank you thank you thank you. #female https://t.co/1ZTYjNfQeF,14
114,@CBS,0.4885,Thu Mar 01 18:10:50 +0000 2018,0.615,0.151,0.234,RT @KeithUrban: ACMs...... HOLY SMOKES!!!!! MAD LOVE TO U ALL THIS MORNING  FOR THESE INCREDIBLE NOMINATIONS. I’M EXTREMELY GRATEFUL!!!!!!!…,15
115,@CBS,0.5994,Thu Mar 01 14:36:21 +0000 2018,0.822,0.0,0.178,"RT @ACMawards: Congratulations to this year’s #ACMawards Video of the Year nominees:
“Black” - @DierksBentley
“It Ain’t My Fault” - @Brothe…",16
116,@CBS,0.7717,Thu Mar 01 14:29:20 +0000 2018,0.675,0.0,0.325,"RT @ACMawards: Please give a round of applause to this year’s #ACMawards Entertainer of the Year nominees: @Jason_Aldean, @GarthBrooks, @Lu…",17
117,@CBS,0.6908,Thu Mar 01 14:15:29 +0000 2018,0.725,0.0,0.275,".@ChrisStapleton, @ThomasRhett, @mirandalambert and more are all nominated for awards at Country Music's Party of t… https://t.co/Vm1vXRUDYJ",18
118,@CBS,0.0,Thu Mar 01 13:50:11 +0000 2018,1.0,0.0,0.0,"The Queen of Country, @Reba, is returning to host the 53rd #ACMawards on Sunday, April 15 at 8/7c. Here are a few o… https://t.co/Iqzz6Gql01",19
119,@CBS,0.0,Thu Mar 01 01:04:52 +0000 2018,1.0,0.0,0.0,RT @survivorcbs: It’s time! #Survivor https://t.co/YPk6cGWrUA,20
120,@CBS,0.8625,Thu Mar 08 18:00:49 +0000 2018,0.664,0.0,0.336,Today and every day we celebrate the women in our lives who empower and inspire us. Share a story about an influent… https://t.co/9rVtqrElvT,21
121,@CBS,0.4926,Thu Mar 08 17:03:04 +0000 2018,0.868,0.0,0.132,Take and post a photo of the woman in your life who inspires you daily! Use the hashtag #WomanAmenACM in your post… https://t.co/7ShhvE48zy,22
122,@CBS,-0.2023,Wed Mar 07 18:39:10 +0000 2018,0.619,0.23,0.15,"RT @thegoodfight: Meticulously constructed. Soapy &amp; sexy. Intoxicating, savage television. ? Here's what critics are saying about #TheGoodF…",23
123,@CBS,0.0,Wed Mar 07 17:06:02 +0000 2018,1.0,0.0,0.0,"This just in! @Jason_Aldean, @mirandalambert, @LukeBryanOnline, and many more are set to perform at the 53rd Academ… https://t.co/mfxw2VxzU4",24
124,@CBS,0.6705,Tue Mar 06 18:10:59 +0000 2018,0.756,0.0,0.244,"Meet the ensemble of talented actors slated to join $1, a new mystery series coming to CBS All Access:… https://t.co/QoyYv7vxwg",25
125,@CBS,0.3818,Mon Mar 05 22:16:43 +0000 2018,0.833,0.0,0.167,"Will @Jason_Aldean, @garthbrooks, @LukeBryanOnline, @ChrisStapleton, or @KeithUrban be named Entertainer Of The Yea… https://t.co/rMD8zjeX3s",26
126,@CBS,0.4404,Sun Mar 04 08:05:26 +0000 2018,0.884,0.0,0.116,"RT @thegoodfight: It feels good to be back. ??? The season 2 premiere of #TheGoodFight is now streaming, exclusively on CBS All Access: htt…",27
127,@CBS,0.0,Sat Mar 03 20:55:20 +0000 2018,1.0,0.0,0.0,"RT @thegoodfight: Tomorrow, #TheGoodFight is back. Stream the season 2 premiere only on CBS All Access: https://t.co/tNFR8LBJO2 https://t.c…",28
128,@CBS,0.7096,Fri Mar 02 22:30:01 +0000 2018,0.753,0.0,0.247,"Who are the trailblazing women in your life that inspire you? Join CBS and the ANA's #SeeHer initiative, celebratin… https://t.co/M0KqZ41Bes",29
129,@CBS,0.7096,Fri Mar 02 20:30:01 +0000 2018,0.718,0.0,0.282,"Join @maria_bello, @aishatyler and @TeaLeoni in celebrating the accomplishments of women who have contributed to th… https://t.co/MefESBeFL3",30
130,@CBS,0.4939,Fri Mar 02 18:45:00 +0000 2018,0.849,0.0,0.151,"In honor of Women's History Month, CBS and the Association of National Advertisers' (ANA) #SeeHer initiative will p… https://t.co/2wtYxKJVuO",31
131,@CBS,-0.6981,Thu Mar 01 18:59:01 +0000 2018,0.79,0.21,0.0,RT @ZoeListerJones: Tonight’s an all new Life In Pieces and it’s directed by my ride or die @nataliaanderson!!!… https://t.co/2LPfmyLWrY,32
132,@CBS,0.4547,Thu Mar 01 18:12:57 +0000 2018,0.749,0.092,0.159,"RT @MarenMorris: Hot damn! Woke up from my post-wisdom teeth haze to find out I’m up for 4 @ACMawards ! So honored, especially for the Dear…",33
133,@CBS,0.8591,Thu Mar 01 18:11:50 +0000 2018,0.462,0.0,0.538,RT @KelseaBallerini: Ohhhhh goodness. Incredible. Thank you thank you thank you. #female https://t.co/1ZTYjNfQeF,34
134,@CBS,0.4885,Thu Mar 01 18:10:50 +0000 2018,0.615,0.151,0.234,RT @KeithUrban: ACMs...... HOLY SMOKES!!!!! MAD LOVE TO U ALL THIS MORNING  FOR THESE INCREDIBLE NOMINATIONS. I’M EXTREMELY GRATEFUL!!!!!!!…,35
135,@CBS,0.5994,Thu Mar 01 14:36:21 +0000 2018,0.822,0.0,0.178,"RT @ACMawards: Congratulations to this year’s #ACMawards Video of the Year nominees:
“Black” - @DierksBentley
“It Ain’t My Fault” - @Brothe…",36
136,@CBS,0.7717,Thu Mar 01 14:29:20 +0000 2018,0.675,0.0,0.325,"RT @ACMawards: Please give a round of applause to this year’s #ACMawards Entertainer of the Year nominees: @Jason_Aldean, @GarthBrooks, @Lu…",37
137,@CBS,0.6908,Thu Mar 01 14:15:29 +0000 2018,0.725,0.0,0.275,".@ChrisStapleton, @ThomasRhett, @mirandalambert and more are all nominated for awards at Country Music's Party of t… https://t.co/Vm1vXRUDYJ",38
